Student Name,Registration No,Roll No,Site,Batch Name,Academic Session,Class,Student Status,Email,Password
Darshit Saxena,AIMSR/MMS/2024-26/201,AIMSR/MMS/2024-26/201,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 1,Active,darshit.saxena@aimsr.edu.in,Student@123
Zoya Bobal,AIMSR/MMS/2024-26/202,AIMSR/MMS/2024-26/202,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 1,Active,zoya.bobal@aimsr.edu.in,Student@123
Aayush Sridhar,AIMSR/MMS/2024-26/203,AIMSR/MMS/2024-26/203,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,aayush.sridhar@aimsr.edu.in,Student@123
Ivan Mand,AIMSR/MMS/2024-26/204,AIMSR/MMS/2024-26/204,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 1,Active,ivan.mand@aimsr.edu.in,Student@123
Lakshit Krishna,AIMSR/MMS/2024-26/205,AIMSR/MMS/2024-26/205,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,lakshit.krishna@aimsr.edu.in,Student@123
Shamik Srinivas,AIMSR/MMS/2024-26/206,AIMSR/MMS/2024-26/206,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,shamik.srinivas@aimsr.edu.in,Student@123
Kimaya Din,AIMSR/MMS/2024-26/207,AIMSR/MMS/2024-26/207,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 1,Active,kimaya.din@aimsr.edu.in,Student@123
Anahi Sengupta,AIMSR/MMS/2024-26/208,AIMSR/MMS/2024-26/208,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 1,Active,anahi.sengupta@aimsr.edu.in,Student@123
Ehsaan Ganesh,AIMSR/MMS/2024-26/209,AIMSR/MMS/2024-26/209,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 1,Active,ehsaan.ganesh@aimsr.edu.in,Student@123
Dhruv Yadav,AIMSR/MMS/2024-26/210,AIMSR/MMS/2024-26/210,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,dhruv.yadav@aimsr.edu.in,Student@123
Vedika Desai,AIMSR/MMS/2024-26/211,AIMSR/MMS/2024-26/211,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,vedika.desai@aimsr.edu.in,Student@123
Ayesha Chowdhury,AIMSR/MMS/2024-26/212,AIMSR/MMS/2024-26/212,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,ayesha.chowdhury@aimsr.edu.in,Student@123
Amira Chakraborty,AIMSR/MMS/2024-26/213,AIMSR/MMS/2024-26/213,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 1,Active,amira.chakraborty@aimsr.edu.in,Student@123
Ivana Halder,AIMSR/MMS/2024-26/214,AIMSR/MMS/2024-26/214,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,ivana.halder@aimsr.edu.in,Student@123
Vidur Edwin,AIMSR/MMS/2024-26/215,AIMSR/MMS/2024-26/215,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,vidur.edwin@aimsr.edu.in,Student@123
Gokul Dayal,AIMSR/MMS/2024-26/216,AIMSR/MMS/2024-26/216,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,gokul.dayal@aimsr.edu.in,Student@123
Ira Joshi,AIMSR/MMS/2024-26/217,AIMSR/MMS/2024-26/217,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,ira.joshi@aimsr.edu.in,Student@123
Tara Chokshi,AIMSR/MMS/2024-26/218,AIMSR/MMS/2024-26/218,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,tara.chokshi@aimsr.edu.in,Student@123
Shamik Mand,AIMSR/MMS/2024-26/219,AIMSR/MMS/2024-26/219,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 1,Active,shamik.mand@aimsr.edu.in,Student@123
Lagan Arya,AIMSR/MMS/2024-26/220,AIMSR/MMS/2024-26/220,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,lagan.arya@aimsr.edu.in,Student@123
Hrishita Tella,AIMSR/MMS/2024-26/221,AIMSR/MMS/2024-26/221,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,hrishita.tella@aimsr.edu.in,Student@123
Nitara Tara,AIMSR/MMS/2024-26/222,AIMSR/MMS/2024-26/222,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,nitara.tara@aimsr.edu.in,Student@123
Jayant Karpe,AIMSR/MMS/2024-26/223,AIMSR/MMS/2024-26/223,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 1,Active,jayant.karpe@aimsr.edu.in,Student@123
Lavanya Hans,AIMSR/MMS/2024-26/224,AIMSR/MMS/2024-26/224,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,lavanya.hans@aimsr.edu.in,Student@123
Piya Sibal,AIMSR/MMS/2024-26/225,AIMSR/MMS/2024-26/225,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 1,Active,piya.sibal@aimsr.edu.in,Student@123
Saanvi Lala,AIMSR/MMS/2024-26/226,AIMSR/MMS/2024-26/226,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,saanvi.lala@aimsr.edu.in,Student@123
Ivana Agate,AIMSR/MMS/2024-26/227,AIMSR/MMS/2024-26/227,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,ivana.agate@aimsr.edu.in,Student@123
Mishti Sha,AIMSR/MMS/2024-26/228,AIMSR/MMS/2024-26/228,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,mishti.sha@aimsr.edu.in,Student@123
Parinaaz Bhatnagar,AIMSR/MMS/2024-26/229,AIMSR/MMS/2024-26/229,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 1,Active,parinaaz.bhatnagar@aimsr.edu.in,Student@123
Purab Lalla,AIMSR/MMS/2024-26/230,AIMSR/MMS/2024-26/230,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 1,Active,purab.lalla@aimsr.edu.in,Student@123
Zeeshan Raval,AIMSR/MMS/2024-26/231,AIMSR/MMS/2024-26/231,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,zeeshan.raval@aimsr.edu.in,Student@123
Tanya Kashyap,AIMSR/MMS/2024-26/232,AIMSR/MMS/2024-26/232,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,tanya.kashyap@aimsr.edu.in,Student@123
Manjari Subramanian,AIMSR/MMS/2024-26/233,AIMSR/MMS/2024-26/233,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 1,Active,manjari.subramanian@aimsr.edu.in,Student@123
Armaan Bajwa,AIMSR/MMS/2024-26/234,AIMSR/MMS/2024-26/234,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,armaan.bajwa@aimsr.edu.in,Student@123
Bhamini Bhandari,AIMSR/MMS/2024-26/235,AIMSR/MMS/2024-26/235,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 1,Active,bhamini.bhandari@aimsr.edu.in,Student@123
Priyansh Shankar,AIMSR/MMS/2024-26/236,AIMSR/MMS/2024-26/236,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,priyansh.shankar@aimsr.edu.in,Student@123
Alisha Varty,AIMSR/MMS/2024-26/237,AIMSR/MMS/2024-26/237,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,alisha.varty@aimsr.edu.in,Student@123
Hazel Srinivasan,AIMSR/MMS/2024-26/238,AIMSR/MMS/2024-26/238,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 1,Active,hazel.srinivasan@aimsr.edu.in,Student@123
Dhanush Sharma,AIMSR/MMS/2024-26/239,AIMSR/MMS/2024-26/239,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,dhanush.sharma@aimsr.edu.in,Student@123
Nayantara Varghese,AIMSR/MMS/2024-26/240,AIMSR/MMS/2024-26/240,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,nayantara.varghese@aimsr.edu.in,Student@123
Hunar Ramaswamy,AIMSR/MMS/2024-26/241,AIMSR/MMS/2024-26/241,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,hunar.ramaswamy@aimsr.edu.in,Student@123
Anya Jani,AIMSR/MMS/2024-26/242,AIMSR/MMS/2024-26/242,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,anya.jani@aimsr.edu.in,Student@123
Hansh Rama,AIMSR/MMS/2024-26/243,AIMSR/MMS/2024-26/243,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,hansh.rama@aimsr.edu.in,Student@123
Biju Handa,AIMSR/MMS/2024-26/244,AIMSR/MMS/2024-26/244,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,biju.handa@aimsr.edu.in,Student@123
Eva Dass,AIMSR/MMS/2024-26/245,AIMSR/MMS/2024-26/245,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,eva.dass@aimsr.edu.in,Student@123
Vanya Dugar,AIMSR/MMS/2024-26/246,AIMSR/MMS/2024-26/246,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 1,Active,vanya.dugar@aimsr.edu.in,Student@123
Nirvaan Handa,AIMSR/MMS/2024-26/247,AIMSR/MMS/2024-26/247,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,nirvaan.handa@aimsr.edu.in,Student@123
Hrishita Chakrabarti,AIMSR/MMS/2024-26/248,AIMSR/MMS/2024-26/248,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,hrishita.chakrabarti@aimsr.edu.in,Student@123
Ira Butala,AIMSR/MMS/2024-26/249,AIMSR/MMS/2024-26/249,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,ira.butala@aimsr.edu.in,Student@123
Saira Kar,AIMSR/MMS/2024-26/250,AIMSR/MMS/2024-26/250,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 1,Active,saira.kar@aimsr.edu.in,Student@123
Nitya Swaminathan,AIMSR/MMS/2024-26/251,AIMSR/MMS/2024-26/251,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,nitya.swaminathan@aimsr.edu.in,Student@123
Amani Sant,AIMSR/MMS/2024-26/252,AIMSR/MMS/2024-26/252,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 2,Active,amani.sant@aimsr.edu.in,Student@123
Ela Balasubramanian,AIMSR/MMS/2024-26/253,AIMSR/MMS/2024-26/253,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,ela.balasubramanian@aimsr.edu.in,Student@123
Veer Tripathi,AIMSR/MMS/2024-26/254,AIMSR/MMS/2024-26/254,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 1,Active,veer.tripathi@aimsr.edu.in,Student@123
Riya Divan,AIMSR/MMS/2024-26/255,AIMSR/MMS/2024-26/255,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,riya.divan@aimsr.edu.in,Student@123
Advika Kant,AIMSR/MMS/2024-26/256,AIMSR/MMS/2024-26/256,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,advika.kant@aimsr.edu.in,Student@123
Rhea Dutt,AIMSR/MMS/2024-26/257,AIMSR/MMS/2024-26/257,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 1,Active,rhea.dutt@aimsr.edu.in,Student@123
Kashvi Deshmukh,AIMSR/MMS/2024-26/258,AIMSR/MMS/2024-26/258,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,kashvi.deshmukh@aimsr.edu.in,Student@123
Umang Dhillon,AIMSR/MMS/2024-26/259,AIMSR/MMS/2024-26/259,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,umang.dhillon@aimsr.edu.in,Student@123
Seher Das,AIMSR/MMS/2024-26/260,AIMSR/MMS/2024-26/260,AIMSR-Aditya Institute Of Management Studies & Research,MMS 2024-26,SEMESTER I,Batch 3,Active,seher.das@aimsr.edu.in,Student@123
